company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Nira Consulting Engineers Inc,950 5th Ave,5th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Consulting,6502000,100k-250k,40000-99999,40.517647,-80.164815
ATM,925 4th Ave,4th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.51901,-80.164832
PNC Bank,925 4th Ave,4th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Commercial Banking,Banks,919000,Less than 10k,1500-2499,40.51901,-80.164832
Coraopolis Floor Covering Inc,941 5th Ave,5th Avenue,Private,Professional Service & Consulting,Tile And Terrazzo Contractors,Tile-Ceramic-Contractors & Dealers,153000,Less than 10k,1-1499,40.517987,-80.164866
Be Active Physical Thrpy,938 4th Ave,4th Avenue,Private,Healthcare,"Offices Of Physical, Occupational And Speech Thera",Physical Therapists,275000,10k-25k,2500-4999,40.518516,-80.164887
Stevens Woodworks,938 4th Ave,4th Avenue,Private,Industry,All Other Miscellaneous Store Retailers (Except To,Wood Products,529000,10k-25k,2500-4999,40.518516,-80.164887
Mobility City,938 4th Ave,4th Avenue,Private,Healthcare,Home Health Equipment Rental,Disabled Persons Equipment & Supplies,283000,10k-25k,2500-4999,40.518516,-80.164887
Sma Cory Pa LLC,1020 State Ave,State Avenue,Private,Real Estate,Lessors Of Residential Buildings And Dwellings,Apartments,535000,10k-25k,5000-9999,40.51657,-80.164918
State Manor Apartments,1020 State Ave,State Avenue,Private,Real Estate,Lessors Of Residential Buildings And Dwellings,Apartments,713000,10k-25k,5000-9999,40.51657,-80.164918
ATM,953 5th Ave,5th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.518021,-80.164974
Key Bank,953 5th Ave,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Commercial Banking,Banks,1149000,10k-25k,2500-4999,40.518021,-80.164974
Patz Legal,939 5th Ave,5th Avenue,Private,Professional Service & Consulting,Offices Of Lawyers,Attorneys,0,,1500-2499,40.518029,-80.164977
Uncle Joe's Scuba,937 5th Ave,5th Avenue,Private,Fitness,Sports And Recreation Instruction,Diving Instruction,156000,Less than 10k,1-1499,40.51806,-80.165057
